#Mapping of Stanford dependency relations to 4lang edges.
#
#The line "rel TAB i,j" means the dependency relation rel(x,y) should convert
#to an arrow of color i pointing from x to y and an arrow of color j pointing
#from y to x. "-" means no arrow, "?" means undecided or ambiguous.
#
#Further TAB separated fields may specify binary relations that should hold
#between x and y, the order can be reversed with "!". E.g. HAS will trigger
#x HAS y, !HAS will trigger Y HAS X

prep_from	-,-	from

prep_in	-,-	IN
prep_into	-,-

prep_like	-,-
prep_next_to	-,-

#wrong in many cases: in charge of, one of two, group of people (?)
prep_of	-,-	!HAS

prep_on	-,-

#we don't really have this, but I didn't know what to do. Perhaps "not" and IN combined somehow, but we don't have the syntax for it, plus we don't know how negation works

#This is just a few of the prep(c)s, the rest are listed at the end of the file

prep_according_to	-,-
prep_at	-,-
prep_compared_with	-,-
prep_containing	-,-
prep_out_of	-,-	NOTIN
prep_outside_of	-,-
prep_over	-,-
prep_starting	-,-
prep_such_as	-,-
prep_than	-,-
prep_to	-,-
prep_towards	-,-
prep_with	-,-	INSTRUMENT
prep_within	-,-

prepc_about	-,-
prepc_as	-,-
prepc_as_for	-,-
prepc_by	-,-
prepc_for	-,-
prepc_from	-,-
prepc_next_to	-,-
prepc_of	-,-
prepc_out	-,-
prepc_regardless_of	-,-	regardless
prepc_in	-,-	IN
prepc_since	-,-
prepc_smooth	-,-
prepc_whether	-,-
prepc_with	-,-
prepc_without	-,-	LACK

prt	0,-
punct	-,-

#purpcl	-,-
#(obsoleted by advcl)
#Maybe y CAUSE x, or do we have something standard for GOAL?

quantmod	-,-
#No quantification yet...

rcmod	-,-
# cannot be handled uniformly, we handle these in dependency_processor

ref	-,-

root	-,-
#tells us what the predicate is

tmod	-,-	AT
#x AT y

vmod	?,?
#This should be two relations based on the role of the first element
# "Truffles picked during the spring are tasty"	
# partmod(truffles, picked)	-,2
# "Bill tried to shoot demonstrating his incompetence
# partmod(shoot, demonstrating) 0,1


xcomp	2,-

xsubj	1,-


prep_above	-,-
prep_across	-,-
prep_against	-,-
prep_ahead_of	-,-
prep_along	-,-
prep_among	-,-
prep_apart_from	-,-
prep_as_for	-,-
prep_away_from	-,-
prep_based_on	-,-
prep_because	-,-
prep_because_of	-,-
prep_before	-,-
prep_behind	-,-
prep_below	-,-
prep_beneath	-,-
prep_beside	-,-
prep_beyond	-,-
prep_but	-,-
prep_by_means_of	-,-
prep_close_to	-,-
prep_deserving	-,-
prep_down	-,-
prep_except	-,-
prep_except_for	-,-
prep_expressing	-,-
prep_far_from	-,-
prep_followed_by	-,-
prep_following	-,-
prep_half-baked	-,-
prep_if	-,-
prep_in_addition_to	-,-
prep_in_front_of	-,-
prep_in_spite_of	-,-
prep_including	-,-
prep_inside	-,-
prep_instead_of	-,-
prep_involving	-,-
prep_near	-,-
prep_near_to	-,-
prep_nearest	-,-
prep_off	-,-
prep_on_top_of	-,-
prep_onto	-,-
prep_opposite	-,-
prep_out	-,-
prep_outside	-,-
prep_past	-,-
prep_per	-,-
prep_pro	-,-
prep_showing	-,-
prep_since	-,-
prep_someone	-,-
prep_that	-,-
prep_through	-,-
prep_together_with	-,-
prep_under	-,-
prep_until	-,-
prep_up	-,-
prep_upon	-,-
prep_using	-,-
prep_veiled	-,-
prep_while	-,-
prep_without	-,-
prep_worth	-,-
prepc_according_to	-,-
prepc_after	-,-
prepc_against	-,-
prepc_along	-,-
prepc_around	-,-
prepc_as_of	-,-
prepc_at	-,-
prepc_away_from	-,-
prepc_based_on	-,-
prepc_because_of	-,-
prepc_before	-,-
prepc_but	-,-
prepc_compared_to	-,-
prepc_compared_with	-,-
prepc_during	-,-
prepc_except_for	-,-
prepc_far_from	-,-
prepc_in_addition_to	-,-
prepc_in_spite_of	-,-
prepc_including	-,-
prepc_inside	-,-
prepc_instead_of	-,-
prepc_into	-,-
prepc_like	-,-
prepc_on	-,-
prepc_onto	-,-
prepc_out_of	-,-
prepc_outside	-,-
prepc_over	-,-
prepc_such_as	-,-
prepc_than	-,-
prepc_through	-,-
prepc_to	-,-
prepc_together_with	-,-
prepc_towards	-,-
prepc_until	-,-
prepc_up	-,-
prepc_while	-,-
